SEQENCE ID                     TM SP PREDICTION
O83813                          0  0 o
O83815                          0  0 o
O83817                          0  0 o
O83818                          0  0 o
O83823                          0  0 o
O83825                          0  0 o
O83827                          0  Y n8-19c26/27o
O83828                          0  Y n12-23c32/33o
O83829                          0  0 o
O83830                          0  Y n13-24c33/34o
O83831                          0  0 o
O83835                          0  0 o
O83836                          1  0 o231-250i
O83837                          0  Y n9-19c23/24o
O83838                          0  0 o
O83839                          0  0 i
O83841                          0  0 o
O83843                          0  0 o
O83844                          0  0 o
O83846                          0  0 o
O83847                          0  0 o
O83848                          1  0 i12-32o
O83849                          2  0 i7-24o468-489i
O83850                          7  0 o22-43i55-75o108-128i135-152o158-179i191-212o218-238i
O83851                          0  0 o
O83852                          0  0 o
O83853                          5  Y n5-16c21/22o45-68i80-110o268-288i293-310o322-345i
O83854                          6  0 o12-35i47-73o93-117i284-302o308-327i339-357o
O83864                          0  0 o
O83865                          0  Y n16-27c34/35o
O83866                          0  0 o
O83869                          0  0 o
O83870                          0  0 o
O83871                         12  0 i21-45o65-87i108-129o149-170i177-197o209-230i242-265o299-319i340-361o373-392i404-426o432-453i
O83872                          3  0 o20-39i51-72o128-149i
O83874                          0  0 o
O83880                          0  0 o
O83881                          0  Y n6-11c16/17o
O83882                          0  0 o
O83883                          0  0 o
O83884                          0  0 o
O83885                          0  Y n4-15c26/27o
O83886                          0  0 o
O83888                          3  0 o66-92i123-141o147-170i
O83890                          0  0 o
O83891                          0  0 o
O83894                          0  0 o
O83897                          0  0 o
O83898                          1  0 o12-33i
O83899                          0  0 o
O83900                          0  0 o
O83901                          1  0 o377-398i
O83902                          0  0 o
O83904                          9  Y n7-18c26/27o36-58i70-95o136-158i170-190o210-230i242-263o283-307i314-335o341-365i
O83905                          0  0 o
O83906                          0  0 o
O83907                          0  0 o
O83908                          0  Y n18-29c33/34o
O83910                          0  0 i
O83911                          0  0 o
O83912                          0  0 o
O83913                          0  0 o
O83914                          2  0 o36-59i147-173o
O83916                          0  0 o
O83918                          0  Y n2-10c18/19o
O83919                          4  0 o256-276i288-308o314-339i368-391o
O83920                          0  Y n9-20c27/28o
O83921                          0  0 o
O83922                          0  Y n8-19c24/25o
O83923                          0  Y n5-16c20/21o
O83924                         17  0 i12-31o63-82i103-124o144-161i168-192o204-225i232-250o262-282i303-330o350-372i384-405o417-439i446-465o485-504i525-550o570-594i606-626o
O83925                          0  0 o
O83926                          0  0 o
O83927                          0  0 o
O83928                          4  0 i21-40o282-308i335-358o370-393i
O83929                          4  0 o20-41i280-306o336-359i371-392o
O83930                          0  0 o
O83931                          0  Y n17-27c33/34o
O83932                          0  Y n16-29c34/35o
O83933                          0  0 o
O83934                          0  0 o
O83935                          0  0 o
O83936                          0  0 o
O83937                         10  0 i12-31o37-55i176-193o199-214i221-244o250-270i301-322o334-354i366-383o420-442i
O83939                          0  0 o
O83941                          3  0 o20-40i52-73o113-133i
O83944                          0  0 o
O83947                          6  0 i12-41o61-80i92-112o118-137i144-164o176-192i
O83948                          0  Y n12-20c28/29o
O83951                          9  Y n11-22c30/31o40-57i69-86o92-114i121-141o147-166i178-197o209-232i239-255o261-279i
O83952                          0  0 o
O83953                          6  0 o86-110i122-147o153-171i186-208o220-242i254-275o
O83954                          1  0 i60-79o
O83955                          1  0 o467-493i
O83957                          0  0 o
O83959                          0  0 o
O83960                          0  Y n6-16c21/22o
O83961                          0  0 o
O83965                          0  0 o
O83966                          0  0 o
O83967                          0  Y n2-13c18/19o
O83968                          7  Y n10-25c43/44o85-103i115-137o149-170i182-202o269-285i292-310o316-335i
O83976                          0  0 o
O83978                          2  0 o16-36i222-244o
O83989                          0  0 o
O83992                          0  0 o
O83993                          0  0 o
O83994                          0  0 o
O83995                          1  0 o25-48i
O83996                          0  0 o
O83997                          8  Y n16-27c31/32o87-109i121-139o145-167i188-210o222-242i254-276o288-306i318-336o
O84000                          7  0 o40-62i74-97o103-121i133-155o161-178i190-212o218-236i
O84002                          0  0 o
O88138                          0  Y n8-18c22/23o
P29722                          0  Y n7-17c22/23o
P29725                          0  Y n5-15c20/21o
P56822                          0  0 o
Q01305                          0  Y n10-28c33/34o
Q56343                         10  Y n18-28c33/34o49-73i80-96o102-123i130-150o156-174i181-206o212-232i253-277o283-300i312-334o
Q56345                          1  0 i154-175o
